LOCATION,HWF_0010,HWF_0010-footnote,HWF_0010-footnote-short,HWF_0006,HWF_0006-footnote,HWF_0006-footnote-short,HWF_0001,HWF_0001-footnote,HWF_0001-footnote-short,MDG_0000000003_15_19,MDG_0000000003_15_19-footnote,MDG_0000000003_15_19-footnote-short,SDGSUICIDE,SDGSUICIDE-footnote,SDGSUICIDE-footnote-short,FINPROTECTION_CATA_TOT_10_POP,FINPROTECTION_CATA_TOT_10_POP-footnote,FINPROTECTION_CATA_TOT_10_POP-footnote-short,FINPROTECTION_CATA_TOT_25_POP,FINPROTECTION_CATA_TOT_25_POP-footnote,FINPROTECTION_CATA_TOT_25_POP-footnote-short,MDG_0000000003_10_14,MDG_0000000003_10_14-footnote,MDG_0000000003_10_14-footnote-short,SDGFPALL,SDGFPALL-footnote,SDGFPALL-footnote-short,SDGHEPHBSAGPRV,SDGHEPHBSAGPRV-footnote,SDGHEPHBSAGPRV-footnote-short,SDGPOISON,SDGPOISON-footnote,SDGPOISON-footnote-short,WHOSIS_000002_BTSX,WHOSIS_000002_BTSX-footnote,WHOSIS_000002_BTSX-footnote-short,WHOSIS_000002_FMLE,WHOSIS_000002_FMLE-footnote,WHOSIS_000002_FMLE-footnote-short,WHOSIS_000002_MLE,WHOSIS_000002_MLE-footnote,WHOSIS_000002_MLE-footnote-short,HWF_0014,HWF_0014-footnote,HWF_0014-footnote-short,M_Est_tob_curr_std,M_Est_tob_curr_std-footnote,M_Est_tob_curr_std-footnote-short,MDG_0000000025,MDG_0000000025-footnote,MDG_0000000025-footnote-short,WHS4_100,WHS4_100-footnote,WHS4_100-footnote-short,MDG_0000000020,MDG_0000000020-footnote,MDG_0000000020-footnote-short,SDGWSHBOD,SDGWSHBOD-footnote,SDGWSHBOD-footnote-short,SDGHIV,SDGHIV-footnote,SDGHIV-footnote-short,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE-footnote,MALARIA_EST_INCIDENCE-footnote-short,NCDMORT3070,NCDMORT3070-footnote,NCDMORT3070-footnote-short,SA_0000001688,SA_0000001688-footnote,SA_0000001688-footnote-short,MDG_0000000007,MDG_0000000007-footnote,MDG_0000000007-footnote-short,MCV2,MCV2-footnote,MCV2-footnote-short,SDGAIRBODA,SDGAIRBODA-footnote,SDGAIRBODA-footnote-short,WHOSIS_000003,WHOSIS_000003-footnote,WHOSIS_000003-footnote-short,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED-footnote,UHC_INDEX_REPORTED-footnote-short,SDGIHR2021,SDGIHR2021-footnote,SDGIHR2021-footnote-short,PCV3,PCV3-footnote,PCV3-footnote-short,MDG_0000000026,MDG_0000000026-footnote,MDG_0000000026-footnote-short,RS_198,RS_198-footnote,RS_198-footnote-short,SDGNTDTREATMENT,SDGNTDTREATMENT-footnote,SDGNTDTREATMENT-footnote-short,WHOSIS_000001_BTSX,WHOSIS_000001_BTSX-footnote,WHOSIS_000001_BTSX-footnote-short,WHOSIS_000001_FMLE,WHOSIS_000001_FMLE-footnote,WHOSIS_000001_FMLE-footnote-short,WHOSIS_000001_MLE,WHOSIS_000001_MLE-footnote,WHOSIS_000001_MLE-footnote-short,SDGODA01,SDGODA01-footnote,SDGODA01-footnote-short,SDGHPVRECEIVED,SDGHPVRECEIVED-footnote,SDGHPVRECEIVED-footnote-short,SUD_TREATMENTSERVICES_COVERAGE_ALCOHOL,SUD_TREATMENTSERVICES_COVERAGE_ALCOHOL-footnote,SUD_TREATMENTSERVICES_COVERAGE_ALCOHOL-footnote-short,AMR_INFECT_MRSA,AMR_INFECT_MRSA-footnote,AMR_INFECT_MRSA-footnote-short,AMR_INFECT_ECOLI,AMR_INFECT_ECOLI-footnote,AMR_INFECT_ECOLI-footnote-short,SUD_TREATMENTSERVICES_COVERAGE_DRUGS,SUD_TREATMENTSERVICES_COVERAGE_DRUGS-footnote,SUD_TREATMENTSERVICES_COVERAGE_DRUGS-footnote-short,SDGHEALTHFACILITIESESSENTIALMEDS,SDGHEALTHFACILITIESESSENTIALMEDS-footnote,SDGHEALTHFACILITIESESSENTIALMEDS-footnote-short
Eswatini,0.28,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,42.6,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,5.57,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,,,,27.2,,,5,,,1.29,,,,,,74.1,2021-2022.    Eswatini 2021-2022 Multiple Indicator Cluster Survey,,0.8,,,3.0,,,47.5,,,49.3,,,45.8,,,0.34,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,9.5,The most recent survey was conducted in 2014. This is a projection.,,93, Multiple Indicator Cluster Survey 2021-2022,,85,,,350,,,46.5,,,4.2,,,1.73,,,32.3,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,7.2,,,45.0,,,82,,,173,,,24.5,,,56,,,43,,,66,,,118,,,24.7,,,250 978,Aggregation across diseases,,54.6,,,57.9,,,51.6,,,7,,,59,,,,,,36.4,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center,,,,,,,,,,
Ethiopia,0.28,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,12.22,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,1.43,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,72.4,Ethiopia 2019 Demographic and Health Survey,,6.1,,,3.48,,,0.57,,,0.5,Ethiopia 2019 Demographic and Health Survey,,60.6,2021-2022.    Ethiopia 2021 PMA Cross Sectional,,1.6,,,1.2,,,58.8,,,59.6,,,58.0,,,1.47,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,5.2,The most recent survey was conducted in 2016. This is a projection.,,50," Ethiopian Public Health Institute (EPHI) [Ethiopia] and ICF. 2019. Ethiopia Mini Demographic and
Health Survey 2019: Key Indicators. Rockville, Maryland, USA: EPHI and ICF.",,72,,,146,,,40.7,,,<0.1,,,109.24,,,16.8,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,3.1,,,46.5,,,53,,,146,,,27.4,,,35,,,69,,,69,,,195,,,17.7,,,63 060 994,Aggregation across diseases,,67.8,,,69.7,,,66.0,,,3.98,,,29,,,,,,61.8,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center,,81,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center",,,,,,,
Fiji,1.17,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,38.52,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,8.13,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,31.0,Fiji 2021 Multiple Indicator Cluster Survey,,8.3,,,,,,,,,0.0,Fiji 2021 Multiple Indicator Cluster Survey,,51.3,2021.    Fiji 2021 Multiple Indicator Cluster Survey,,0.1,,,0.2,,,57.7,,,58.7,,,56.7,,,1.03,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,27.6,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2021. This is a projection.,,100,"Medical doctor, nurse, midwife Fiji Bureau of Statistics. 2022. Fiji Multiple Indicator Cluster Survey 2021, Survey Findings Report. Suva, Fiji: Fiji Bureau of Statistics.",,99,,,66,,,10.8,,,0.4,,,,,,37.9,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,3.5,,,29.1,,,83,,,121,,,14.9,,,58,,,55,,,99,,,30,,,5.3,,,523 954,Aggregation across diseases,,65.5,,,67.7,,,63.5,,,10.79,,,68,,,,,,,,,,,,,,,,,
Finland,9.68,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,140.13,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,36.09,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,3.3,Registration Eurostat,,14.6,,,6.72,,,0.66,,,0,Registration Eurostat,,,,,0.8,,,0.4,,,69.9,,,71.0,,,68.8,,,20.28,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,22.3,The most recent survey was conducted in 2020-21. This is a projection.,,100,Skilled health personnel Statistics Finland: https://pxnet2.stat.fi/PXWeb/pxweb/en/SDG/,,91,,,3.4,,,0.8,,,No data,,,,,,9.6,,,9.5,,,2.3,,,92,,,7,,,1.3,,,≥80 ,Country index values of 80 and over are reported as ≥80 for presentation purposes and to avoid comparisons that are not meaningful given the inability of the index to adequately distinguish between countries with high level of service coverage provision.,,85,,,87,,,8,,,4.2,,,0,Aggregation across diseases,,81.5,,,84.1,,,79.0,,,,,,70,,,,,,1.6,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center,,6.7,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center",,,,,,,
France,6.94,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,94.22,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,32.81,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,3.5,Registration National Statistics,,16.6,,,,,,,,,,,,,,,0.2,,,0.3,,,70.1,,,71.0,,,69.1,,,9.34,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,34.6,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2021. This is a projection.,,98," T64: Nés vivants selon la condition de l’accouchement et le groupe d'âges de la mère. France métropolitaine. Année 2022 [website]. Paris: Institut National de la Statistique et des Études Économiques (INSEE) [National Institute of Statistics and Economic Studies]; 2023 (https://www.insee.fr/fr/recherche?idprec=5414765&q=N%C3%A9s%20vivants%20selon%20la%20condition%20de%20l%27accouchement%20et%20le%20groupe%20d%27%C3%A2ges%20de%20la%20m%C3%A8r&debut=0), accessed 21 September 2023, (in French).",,96,,,8.3,,,3.4,,,<0.1,,,,,,10.2,,,11.2,,,4.3,,,93,,,10,,,2.7,,,≥80 ,Country index values of 80 and over are reported as ≥80 for presentation purposes and to avoid comparisons that are not meaningful given the inability of the index to adequately distinguish between countries with high level of service coverage provision.,,88,,,96,,,7,,,4.7,,,145,Aggregation across diseases,,81.9,,,84.7,,,79.1,,,,,,45,,,,,,11.2,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center,,9.1,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center",,,,,,,
Gabon,0.18,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,23.7,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,5.21,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,100.1,Gabon 2019-2021 Demographic and Health Survey,,7.3,,,3.83,,,0.72,,,2.8,Gabon 2019-2021 Demographic and Health Survey,,37.3,2019-2021.    Gabon 2019-2021 Demographic and Health Survey,,2.1,,,0.6,,,56.3,,,57.4,,,55.3,,,0.77,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,,,,95,"doctor, midwife, delivery nurse, nurse Direction Générale de la Statistique (DGS) et ICF. 2023. Enquête Démographique et de Santé au Gabon, 2019–
21. Libreville, Gabon et Rockville, Maryland, USA : DGS et ICF.",,70,,,505,,,17.5,,,0.79,,,229.32,,,18.1,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,7.9,,,33.2,,,,,,77,,,16.8,,,49,,,49,,,,,,233,,,12.5,,,978 475,Aggregation across diseases,,65.1,,,67.9,,,62.7,,,6.1,,,,,,,,,,,,,,,,,,,,
Gambia,0.03,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,6.58,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,0.9,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,64.8,Gambia 2019-2020 Demographic and Health Survey,,4.8,,,0.2,,,0.03,,,1.1,Gambia 2019-2020 Demographic and Health Survey,,41.1,2019-2020.    Gambia 2019-2020 Demographic and Health Survey,,1.6,,,0.8,,,55.8,,,56.1,,,55.6,,,0.04,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,10.5,The most recent survey was conducted in 2018. This is a projection.,,84," Gambia Bureau of Statistics (GBoS) and ICF. 2021. The Gambia Demographic and Health Survey 2019-20. Banjul, The Gambia and Rockville, Maryland, USA: GBoS and ICF.",,84,,,142,,,29.5,,,0.53,,,87.51,,,21.8,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,0.6,,,44.1,,,73,,,224,,,23.7,,,46,,,27,,,80,,,354,,,22.0,,,490 110,Aggregation across diseases,,64.2,,,66.3,,,62.2,,,11.09,,,,,,,,,,,,,,,,,,,,
Georgia,7.74,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,59.67,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,56.42,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,21.8,Registration Eurostat,,5.1,,,31.41,,,8.86,,,0.1,Registration Eurostat,,51.3,2018.    Georgia 2018 Multiple Indicator Cluster Survey,,0.1,,,1.1,,,62.5,,,65.3,,,59.6,,,0.92,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,31.8,The most recent survey was conducted in 2020. This is a projection.,,100,Skilled health personnel Electronic Registry for Maternal and Newborn Health (Birth Registry) Five year report 2018-2022. Country Consultation 2024,,88,,,55,,,3.3,,,0.14,,,,,,22.1,,,15.5,,,9.2,,,86,,,92,,,5.3,,,68,,,60,,,86,,,20,,,12.7,,,31,Aggregation across diseases,,71.2,,,75.6,,,66.9,,,1.1,,,40,,,,,,28.3,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center,,46.5,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center",,,,,,,
Germany,8.48,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,122.49,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,45.34,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,5.9,Registration Eurostat,,12.9,,,,,,,,,0.1,Registration Eurostat,,,,,0.2,,,0.4,,,68.9,,,69.4,,,68.4,,,6.71,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,21.3,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2021. This is a projection.,,96," Indicator 3..2.1: proportion of births attended by skilled health personnel [online database]. Wiesbaden: Statistisches Bundesamt (DESTATIS); 2023 (http://sdg-indikatoren.de/en/3-1-2/), accessed 21 September 2023). ",,91,,,4.8,,,3.2,,,No data,,,,,,11.6,,,11.2,,,3.7,,,93,,,15,,,2.3,,,≥80 ,Country index values of 80 and over are reported as ≥80 for presentation purposes and to avoid comparisons that are not meaningful given the inability of the index to adequately distinguish between countries with high level of service coverage provision.,,85,,,82,,,4,,,3.3,,,199,Aggregation across diseases,,80.5,,,82.9,,,78.1,,,,,,54,,,,,,4.4,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center,,9.4,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center",,,,,,,
Ghana,0.07,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,41.1,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,2.66,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,63.0,Ghana 2022 Demographic and Health Survey,,5.3,,,1.33,,,0.11,,,2.0,Ghana 2022 Demographic and Health Survey,,49,2022.    Ghana 2022 Demographic and Health Survey,,2.1,,,0.9,,,57.9,,,58.9,,,56.9,,,1.73,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,3.4,The most recent survey was conducted in 2017-18. This is a projection.,,88,"doctor, midwife/nurse Ghana Statistical Service (GSS) and ICF. 2023. Ghana Demographic and Health Survey 2022: Key Indicators Report. Accra, Ghana, and Rockville, Maryland, USA: GSS and ICF.",,95,,,129,,,25.2,,,0.56,,,193.90,,,22.2,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,4.4,,,37.1,,,78,,,191,,,21.2,,,48,,,52,,,96,,,234,,,25.9,,,9 918 507,Aggregation across diseases,,66.1,,,68.6,,,63.7,,,6.11,,,,,,,,,67.9,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center,,90.4,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center",,,,,12.5,* data from only capital city ,
Greece,13.35,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,41.14,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,65.76,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,7.4,Registration Eurostat,,4.7,,,16.89,,,1.62,,,0.5,Registration Eurostat,,,,,0.1,,,0.2,,,68.6,,,69.3,,,67.8,,,10.82,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,32.8,The most recent survey was conducted in 2020. This is a projection.,,100, Hellenic Republic; Hellenic Statistical Authority; Directorate General of Statistics; Population and Migration Statistics Section. ,,99,,,5.2,,,7.6,,,<0.1,,,,,,12.0,,,7.0,,,3.7,,,83,,,23,,,2.3,,,77,,,60,,,96,,,5,,,7.3,,,52,Aggregation across diseases,,79.6,,,82.0,,,77.3,,,,,,,,,,,,41.1,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center,,24,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center",,,,,,,
Grenada,1.9,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,45.77,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,13.83,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,31.4,Registration National Statistics & WPP2024,,1.3,,,,,,,,,1.2,Registration National Statistics & WPP2024,,,,,0.1,,,1.7,,,63.2,,,64.3,,,62.1,,,6.52,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,,,,100,"Skilled health personnel PLISA Health Information Platform. Indicator profile: Deliveries attended by skilled birth attendants (%) [online database]. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO); 2023 (https://opendata.paho.org/es/indicadores-basicos/tablero-de-los-indicadores-basicos, accessed 21 September 2023). ",,86,,,4.9,,,6.7,,,No data,,,,,,17.1,,,7.8,,,18.3,,,84,,,48,,,12.4,,,70,,,54,,,,,,48,,,6.4,,,635,Aggregation across diseases,,72.8,,,75.2,,,70.5,,,0.29,,,1,,,,,,,,,,,,19.1,,,,,
Guatemala,2.68,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,22.73,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,12.81,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,57.6,Registration National Statistics & WPP2024,,4.9,,,,,,,,,2.0,Registration National Statistics & WPP2024,,,,,0.0,,,0.8,,,59.3,,,61.0,,,57.6,,,4,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,11.9,The most recent survey was conducted in 2014-15. This is a projection.,,70,"Trained personnel PLISA Health Information Platform. Indicator profile: Deliveries attended by skilled birth attendants (%) [online database]. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO); 2021 (https://opendata.paho.org/es/indicadores-basicos/tablero-de-los-indicadores-basicos, accessed 30 December 2021). ",,83,,,33,,,15.3,,,<0.1,,,0.22,,,14.6,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,1.7,,,21.4,,,77,,,93,,,10.0,,,59,,,37,,,87,,,94,,,12.6,,,729 890,Aggregation across diseases,,68.7,,,71.9,,,65.6,,,1.49,,,48,,,,,,,,,,,,,,,,,
Guinea,0.03,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,4.21,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,2.1,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,127.6,Guinea 2021 Malaria Indicators Survey,,4.8,,,1.5,,,0.03,,,3.3,Guinea 2021 Malaria Indicators Survey,,37.7,2018.    Guinea 2018 Demographic and Health Survey,,6.1,,,1.0,,,53.4,,,53.5,,,53.3,,,0.18,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,,,,55,"Médecins, infirmières, sages-femmes, agent technique de santé Enquête Démographique et de Santé en Guinée 2018. Conakry, Rockville, Maryland: Institut National de la Statistique (INS), ICF; 2018 (in French).",,47,,,175,,,57.8,,,0.33,,,307.78,,,23.6,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,0.5,,,95.0,,,26,,,244,,,30.3,,,40,,,55,,,,,,494,,,37.4,,,8 401 212,Aggregation across diseases,,61.3,,,62.5,,,59.9,,,5.65,,,,,,,,,,,,,,,,,,12.5,* data from only capital city ,
